response,l1,l2,l3,l4,l5,l6,l7,l8,l9,oe1,oe2,oe3
001,1_Never,3_Sometimes,2_Rarely,3_Sometimes,5_Always,3_Sometimes,4_Often,3_Sometimes,5_Always,finding flaws in terrible designs,no group work; clearer instructions and requirements for assignments,asking thought provoking questions
002,5_Always,5_Always,4_Often,5_Always,5_Always,4_Often,5_Always,4_Often,4_Often,professor's way about explaining topics with fun and informative examples,,ability to communicate with his students
003,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the student involvement level and the nature of the course,,well prepared and high teaching skills and abilities; respects students
004,5_Always,5_Always,5_Always,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,the class is more interactive and we can gain more knowledge about the course,,the instructor is more knowledgeable and taught the course in a way the students can understand this course
005,4_Often,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,4_Often,interactivity,,
006,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,this course is more interactive. So it leads to involvement of many people and which in turn makes other students to open up,nothing,the smile and interactive nature
007,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the class is interesting,none,treats students with respect. The instructor clearly communicates his expectations for student preparation
008,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,best is the way instructor make it interesting for the student by providing some activities. Instructor doesn't make the course boring,I found nothing to be changed till now,instuctor's greatest strength is the students' feedback and how we interact in the class
009,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the instructor give practical example of design and videos,topic should be given a day before lecture so student can prepare,experience of his life
010,4_Often,5_Always,4_Often,3_Sometimes,5_Always,5_Always,4_Often,4_Often,3_Sometimes,I like to this course because professor show us some related video to help to understand topic,"I need to change when we are writing in the exam paper, please remove this box format",instructor's greatest strength is he always teach us well and also helping to the student and find out our comments
011,3_Sometimes,2_Rarely,5_Always,3_Sometimes,4_Often,3_Sometimes,4_Often,3_Sometimes,3_Sometimes,,,
012,4_Often,3_Sometimes,4_Often,5_Always,5_Always,4_Often,5_Always,5_Always,4_Often,the TED talks and other videos,more notes on the board please,"his energy, his calm demeanor, and his preparedness"
013,4_Often,5_Always,5_Always,5_Always,5_Always,3_Sometimes,5_Always,4_Often,5_Always,it is interactive,more scenarios,listening and encourage students to participate
014,4_Often,5_Always,3_Sometimes,3_Sometimes,5_Always,5_Always,5_Always,4_Often,5_Always,"this course lets me breathe. It is a highly relevant and important topic and still is presented in a simple and pleasing manner. Does not put limits and restrictions on thoughts and allows the students to interact with each other and the professor helping everyone to learn and understand everything required, together","the instructor could ask the students to read about something relevant to topic that is to be discussed in class, before coming to the class so that everyone will be able to relate to the discussions happening in class and contribute",the instructor encourages students to actively participate in class and discuss on topics. The instructor listens to the views of all students and does not undermine their ideas but provides a better way of thinking that the students might not have thought about
015,3_Sometimes,4_Often,5_Always,4_Often,5_Always,5_Always,5_Always,4_Often,5_Always,"interactive classes, discussions, opinions are asked",more chapter-oriented lecture is needed,he is cool
016,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the interactive nature of the course. There are always topics and scenarios to discuss in class,,drives participation of students in class as well as online
017,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,everything,,his capability to connect people
018,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,providing the practical example,nothing,communicating with students
019,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,interaction on different topics during class,"nothing, it's perfect (just kidding). I think the course lacks a proper format on what is to be taught in every lecture rather than just discussing different topics (that doesn't mean that I don't like discussions)",to force students to think rather than just learning course material
020,4_Often,4_Often,3_Sometimes,5_Always,4_Often,4_Often,5_Always,4_Often,5_Always,the discussions and participation,more info about the group project (e.g. past projects),humour; thought-provoking; aware of the `dank memes'
