response,l1,l2,l3,l4,l5,l6,l7,l8,l9,oe1,oe2,oe3
001,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the instructor is so generous and kind about many things,it is good the way it is in almost everything; there could be a change (reduction) in the total number of assignments,his patience and attitude
002,4_Often,4_Often,4_Often,3_Sometimes,3_Sometimes,3_Sometimes,5_Always,3_Sometimes,4_Often,annotations,this subject should have lots of team activities in the class,expectations from students are reasonable; great materials provided; good knowledge
003,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the fact that it was hands on and every single aspect of the class was implemented via assignments and projects,"unfortunately, I came across some videos that were very good for lo-fidelity and hi-fidelity prototyping. The prof could have shared them. It'd have cleared many doubts",very knowledgeable
004,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,"the assignments and project are well structured. The informative notes of each class and the constant use of real-life, relatable scenarios",the project should carry more marks and more emphasis should be on the project than the mid-term or exams,he communicates his ideas and expectations well to the students. He adequately transfers his knowledge
005,4_Often,4_Often,5_Always,5_Always,4_Often,5_Always,4_Often,4_Often,5_Always,contain of the course and instructor's teaching method,nothing,he is polite and well-prepared everytime
006,5_Always,5_Always,4_Often,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,this course change my entire point of view for software design,,his knowledge
007,2_Rarely,3_Sometimes,5_Always,2_Rarely,5_Always,5_Always,5_Always,5_Always,5_Always,user interface design,theory,UI
008,4_Often,4_Often,3_Sometimes,4_Often,5_Always,5_Always,5_Always,4_Often,5_Always,,,
009,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,5_Always,the pictures on website,there should be videos of prof doing work instead of just audio,patience and ontime grading. Also the grading rubric
010,4_Often,3_Sometimes,3_Sometimes,3_Sometimes,5_Always,4_Often,5_Always,4_Often,5_Always,,,
011,5_Always,4_Often,4_Often,4_Often,4_Often,4_Often,5_Always,5_Always,5_Always,it is easy compared to other course,nothing...,patience and eager to teach
012,1_Never,1_Never,1_Never,1_Never,1_Never,1_Never,1_Never,1_Never,1_Never,it really helps to learn about designing interfaces,nothing,his greatest strengths are his observation skills
013,5_Always,4_Often,4_Often,5_Always,5_Always,5_Always,,4_Often,5_Always,,,
