Times,Monday,Tuesday,Wednesday,Thursday,Friday
8:30,B_Busy,B_Busy,B_Busy,B_Busy,B_Busy
9:00,B_Busy,B_Busy,B_Busy,B_Busy,B_Busy
9:30,B_Busy,B_Busy,B_Busy,B_Busy,B_Busy
10:00,B_Busy,B_Busy,B_Busy,B_Busy,B_Busy
10:30,O_Office,B_Busy,B_Busy,B_Busy,B_Busy
11:00,O_Office,B_Busy,B_Busy,B_Busy,B_Busy
11:30,O_Office,B_Busy,B_Busy,B_Busy,B_Busy
12:00,B_Busy,B_Busy,B_Busy,B_Busy,B_Busy
12:30,B_Busy,B_Busy,B_Busy,B_Busy,B_Busy
13:00,B_Busy,B_Busy,O_Office,B_Busy,B_Busy
13:30,B_Busy,B_Busy,O_Office,B_Busy,B_Busy
14:00,B_Busy,B_Busy,O_Office,B_Busy,B_Busy
14:30,B_Busy,B_Busy,B_Busy,B_Busy,B_Busy
15:00,B_Busy,B_Busy,B_Busy,B_Busy,B_Busy
15:30,B_Busy,B_Busy,B_Busy,B_Busy,B_Busy
16:00,B_Busy,C_CS-428+828,B_Busy,C_CS-428+828,B_Busy
16:30,B_Busy,C_CS-428+828,B_Busy,C_CS-428+828,B_Busy
17:00,B_Busy,C_CS-428+828,B_Busy,C_CS-428+828,B_Busy
