Times,Monday,Tuesday,Wednesday,Thursday,Friday
09:00-09:30,B_,B_,B_,B_,B_
09:30-10:00,B_,B_,B_,B_,B_
10:00-10:30,B_,B_,B_,B_,B_
10:30-11:00,B_,B_,B_,B_,B_
11:00-11:30,B_,B_,B_,B_,B_
11:30-12:00,B_,C_CS-280,B_,C_CS-280,B_
12:00-12:30,B_,C_CS-280,B_,C_CS-280,B_
12:30-13:00,O_Office,C_CS-280,O_Office,C_CS-280,B_
13:00-13:30,O_Office,C_CS-205,O_Office,C_CS-205,B_
13:30-14:00,O_Office,C_CS-205,O_Office,C_CS-205,B_
14:00-14:30,O_Office,C_CS-205,O_Office,C_CS-205,B_
14:30-15:00,B_,B_,B_,B_,B_
15:00-15:30,B_,B_,B_,B_,B_
15:30-16:00,C_CS-499+900,O_Office,C_CS-499+900,O_Office,C_CS-499+900
16:00-16:30,C_CS-499+900,O_Office,C_CS-499+900,O_Office,C_CS-499+900
16:30-17:00,B_,B_,B_,B_,B_
