response,q1,q2,q3,q4,q5,q6,q7,q8,q9,avg,SD,mode,median
1,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
2,4,3,3,2,3,4,5,3,4,3.44,0.88,3,3
3,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
4,5,5,4,5,5,5,5,5,5,4.89,0.33,5,5
5,5,5,4,5,5,5,5,4,5,4.78,0.44,5,5
6,3,4,4,3,5,4,5,5,5,4.22,0.83,5,4
7,3,4,4,4,4,4,5,3,3,3.78,0.67,4,4
8,4,4,4,4,5,5,5,5,5,4.56,0.53,5,5
9,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
10,4,5,4,5,5,5,4,4,5,4.56,0.53,5,5
11,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
12,5,5,5,4,5,4,5,5,5,4.78,0.44,5,5
13,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
14,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
15,4,5,4,4,5,5,5,5,5,4.67,0.50,5,5
16,5,5,4,5,5,5,5,5,5,4.89,0.33,5,5
17,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
18,3,4,5,3,3,2,3,4,4,3.44,0.88,3,3
19,3,3,3,3,5,3,5,4,5,3.78,0.97,3,3
20,4,4,4,5,5,5,5,5,5,4.67,0.50,5,5
21,4,4,3,5,5,4,5,5,5,4.44,0.73,5,5
22,3,3,3,3,5,3,5,4,5,3.78,0.97,3,3
23,4,4,4,3,5,4,5,5,5,4.33,0.71,4,4
24,4,4,5,5,5,4,5,5,5,4.67,0.50,5,5
25,3,2,2,3,4,3,5,3,4,3.22,0.97,3,3
26,3,3,2,3,4,3,4,2,3,3.00,0.71,3,3
27,5,5,4,5,5,5,5,4,4,4.67,0.50,5,5
28,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
29,4,4,4,3,5,4,5,5,4,4.22,0.67,4,4
30,4,5,4,5,5,4,5,5,4,4.56,0.53,5,5
31,5,5,5,5,5,4,5,5,5,4.89,0.33,5,5
32,5,5,5,5,4,5,5,4,5,4.78,0.44,5,5
33,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
34,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
35,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
36,4,4,3,4,5,5,5,5,5,4.44,0.73,5,5
37,5,5,5,5,5,5,5,4,5,4.89,0.33,5,5
38,4,4,3,4,5,3,5,4,5,4.11,0.78,4,4
39,5,5,5,4,5,4,5,5,4,4.67,0.50,5,5
40,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
41,5,4,5,5,5,5,5,5,5,4.89,0.33,5,5
42,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
43,4,5,4,5,5,5,5,5,5,4.78,0.44,5,5
44,4,5,4,5,4,4,5,4,5,4.44,0.53,4,4
45,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
46,3,4,4,4,4,4,5,3,4,3.89,0.60,4,4
47,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
48,4,4,4,5,5,4,4,5,5,4.44,0.53,4,4
49,4,4,3,4,5,5,5,5,5,4.44,0.73,5,5
50,5,5,4,4,5,4,5,5,5,4.67,0.50,5,5
51,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
52,5,5,5,5,5,5,5,5,5,5.00,0.00,5,5
53,5,5,5,5,5,4,5,5,5,4.89,0.33,5,5
Avg,4.40,4.51,4.28,4.45,4.81,4.45,4.91,4.60,4.77,4.58,0.21,,
SD,0.74,0.72,0.84,0.82,0.48,0.75,0.35,0.72,0.51,,,,
Mode,5,5,5,5,5,5,5,5,5,,,,
Median,5,5,4,5,5,5,5,5,5,,,,
5,29,33,26,34,45,31,49,38,43,328,,,
4,16,15,18,10,6,16,3,10,8,102,,,
3,8,4,7,8,2,5,1,4,2,41,,,
2,0,1,2,1,0,1,0,1,0,6,,,
1,0,0,0,0,0,0,0,0,0,0,,,
Total,53,53,53,53,53,53,53,53,53,477,,,
